%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1455190287877677412,777884,1455190287877677412,world,0.057962924242,1.17082440853,1.01823627949,-0.0891288518906,-0.000872080097906,-0.00317149213515,0.996014773846
1455190287885980063,777885,1455190287885980063,world,0.0579593628645,1.17071628571,1.01831257343,-0.0869710445404,-0.0029779933393,-0.00311146280728,0.996201634407
1455190287894292900,777886,1455190287894292900,world,0.0579323992133,1.17064857483,1.01819467545,-0.0876154005527,-0.00184295745566,-0.00320183811709,0.99614751339
1455190287902753333,777887,1455190287902753333,world,0.0579522661865,1.17085635662,1.01814770699,-0.0858601555228,-0.00433150911704,-0.00537498854101,0.996283352375
1455190287911018599,777888,1455190287911018599,world,0.0579177960753,1.17085254192,1.01813411713,-0.0856259316206,-0.00363512500189,-0.00528325373307,0.996306777
1455190287919249331,777889,1455190287919249331,world,0.0579229332507,1.17086207867,1.01814842224,-0.0856999531388,-0.00405478896573,-0.00548705551773,0.99629765749
1455190287927595485,777890,1455190287927595485,world,0.0579342320561,1.17092859745,1.01811659336,-0.0853040218353,-0.00422889972106,-0.00555522833019,0.996330499649
1455190287935701686,777891,1455190287935701686,world,0.0579519532621,1.17079246044,1.01816475391,-0.0890350490808,-0.00129014742561,-0.00451173307374,0.996017456055
1455190287944460643,777892,1455190287944460643,world,0.0579919666052,1.17085516453,1.01813948154,-0.0887488722801,-0.00178721465636,-0.00437014643103,0.996042907238
1455190287952671676,777893,1455190287952671676,world,0.0580363981426,1.17090904713,1.01817548275,-0.0882133767009,-0.00311700627208,-0.00451798504218,0.996086537838
1455190287961239603,777894,1455190287961239603,world,0.0579926818609,1.17083382607,1.01811397076,-0.0887369439006,-0.00212082918733,-0.00396813452244,0.996044993401
1455190287969382030,777895,1455190287969382030,world,0.0580707006156,1.17095327377,1.01816022396,-0.089235894382,-0.00325288367458,-0.00473067630082,0.995993971825
1455190287977698404,777896,1455190287977698404,world,0.0580621436238,1.17097151279,1.01819992065,-0.0895656123757,-0.00274527515285,-0.00405120011419,0.995968937874
1455190287985873258,777897,1455190287985873258,world,0.0580895990133,1.17101287842,1.01822412014,-0.0891835391521,-0.00324021675624,-0.0049129887484,0.995997846127
1455190287994116951,777898,1455190287994116951,world,0.058031629771,1.17099583149,1.01822113991,-0.0899126902223,-0.00220966921188,-0.00361851928756,0.995940685272
1455190288002705164,777899,1455190288002705164,world,0.0580257363617,1.17101144791,1.01813387871,-0.0894797891378,-0.00296724075451,-0.00429674843326,0.995974957943
1455190288010943364,777900,1455190288010943364,world,0.0580463148654,1.1710960865,1.01818335056,-0.0898408442736,-0.00361502775922,-0.00412951642647,0.995941102505
1455190288019223323,777901,1455190288019223323,world,0.057981017977,1.1710742712,1.01821684837,-0.0907688885927,-0.00231135333888,-0.00383295537904,0.995861947536
1455190288027583018,777902,1455190288027583018,world,0.0580305419862,1.17113816738,1.01824021339,-0.0899075418711,-0.0037918027956,-0.00443634204566,0.995933115482
1455190288036055022,777903,1455190288036055022,world,0.0579835623503,1.17114078999,1.01825666428,-0.0900499299169,-0.00312889227644,-0.00394046073779,0.995924532413
1455190288044301180,777904,1455190288044301180,world,0.0579988136888,1.17111814022,1.018247962,-0.0897936150432,-0.00401503313333,-0.00439371541142,0.99594271183
1455190288052485019,777905,1455190288052485019,world,0.0579895563424,1.17111766338,1.01822650433,-0.0894946679473,-0.00297115137801,-0.0044111283496,0.995973169804
1455190288060959589,777906,1455190288060959589,world,0.057965233922,1.17107534409,1.01825368404,-0.0899088308215,-0.00264865695499,-0.00393827399239,0.995938718319
1455190288069399184,777907,1455190288069399184,world,0.058073643595,1.17108774185,1.01819598675,-0.0889104455709,-0.00341567769647,-0.00486594298854,0.996021866798
1455190288077584410,777908,1455190288077584410,world,0.0579822771251,1.17093122005,1.01819968224,-0.0894039422274,-0.00230023497716,-0.00423111254349,0.99598389864
1455190288085994108,777909,1455190288085994108,world,0.058039098978,1.1708316803,1.0180863142,-0.0889727473259,-0.00188879948109,-0.0041636088863,0.996023595333
1455190288094275326,777910,1455190288094275326,world,0.0580226629972,1.17081820965,1.01822078228,-0.0886721760035,-0.0016958800843,-0.00386952562258,0.996051907539
1455190288102676679,777911,1455190288102676679,world,0.0579781420529,1.17074930668,1.01826453209,-0.087872967124,-0.0018674879102,-0.00315414508805,0.996124982834
1455190288110993909,777912,1455190288110993909,world,0.0579957105219,1.17084026337,1.01814937592,-0.0858110263944,-0.00343429716304,-0.00536790722981,0.996291041374
1455190288119224981,777913,1455190288119224981,world,0.0579463131726,1.17075228691,1.01815497875,-0.0861994251609,-0.00337057560682,-0.00490791955963,0.996260166168
1455190288127594338,777914,1455190288127594338,world,0.057937271893,1.17068421841,1.01809215546,-0.0851360186934,-0.00286393077113,-0.00481433467939,0.996353685856
1455190288136070050,777915,1455190288136070050,world,0.0579422265291,1.17054593563,1.01808488369,-0.0856648758054,-0.00216105929576,-0.00436459388584,0.996312201023
1455190288144467684,777916,1455190288144467684,world,0.0579635500908,1.17053890228,1.01809072495,-0.0839434713125,-0.00264573446475,-0.00444354955107,0.996457099915
1455190288152546759,777917,1455190288152546759,world,0.057893525809,1.17059969902,1.01804494858,-0.0804917737842,-0.00577372452244,-0.00504784286022,0.996725857258
1455190288161013478,777918,1455190288161013478,world,0.0578785426915,1.17047905922,1.01801669598,-0.0798789337277,-0.00493714679033,-0.00490858592093,0.996780276299
1455190288169447594,777919,1455190288169447594,world,0.0578904673457,1.17040252686,1.01803946495,-0.0792557671666,-0.00547125656158,-0.00521037401631,0.996825695038
1455190288177699624,777920,1455190288177699624,world,0.0578872561455,1.1702671051,1.01797580719,-0.0788527056575,-0.00450461450964,-0.00523657724261,0.996862351894
